UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1410,L48515,L,299,310.4,1371,53.8,228,1,Overstrain Failure
1411,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1412,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure
1413,H30851,H,298.8,309.9,1439,45.2,40,1,No Failure
1414,M16352,M,298,308.7,1479,58.5,176,1,Power Failure
1415,L48676,L,298,308.7,1268,69.4,189,1,Power Failure
1416,L48689,L,298,308.5,1429,37.7,220,1,Tool Wear Failure
1417,L48763,L,298.2,308.4,1310,61,189,1,Overstrain Failure
1418,L48775,L,298,308.2,1365,52.9,218,1,Overstrain Failure
1419,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1421,L48943,L,298.2,307.6,1511,31,209,1,Tool Wear Failure
1422,L48964,L,298.3,308,2886,3.8,57,1,Power Failure
1423,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
1424,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1425,L49013,L,297.8,307.3,1327,61,186,1,Overstrain Failure
1426,M16856,M,298.4,308,1416,38.2,198,1,Tool Wear Failure
1427,L49195,L,298.5,308.2,1301,66.3,42,1,Power Failure
1428,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure
1429,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
1430,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
1431,L49413,L,299.5,308.7,2549,13,179,1,Power Failure
1432,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
1433,L49479,L,299.4,308.7,1446,62.9,134,1,Power Failure
1434,L49511,L,299.3,308.6,1384,53.6,218,1,Overstrain Failure
1435,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure
1436,M17286,M,298.9,308.2,1372,63.6,30,1,Power Failure
1437,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure
1439,L49674,L,299.1,308.8,1329,53.6,207,1,Overstrain Failure
1440,L49682,L,299.2,309,1515,48.9,228,1,Overstrain Failure
1441,L49761,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure
1442,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure
1443,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure
1444,M17609,M,299.7,309.2,1685,28.9,179,1,No Failure
1445,L49941,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure
1446,L50038,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure
1447,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure
1448,M17739,M,300.6,309.4,1367,63.2,45,1,Power Failure
1449,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
1450,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
1451,L50199,L,300.5,309.8,1379,54.2,207,1,Overstrain Failure
1452,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
1453,M18096,M,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure
1454,L50446,L,301.3,310.1,1269,56.8,195,1,Overstrain Failure
1455,L50530,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure
1456,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure
1457,L50549,L,301.5,310.9,2760,8,15,1,Power Failure
1458,M18317,M,301.5,310.4,2639,12,21,1,Power Failure
1459,L50708,L,302,310.9,1378,53.1,212,1,Overstrain Failure
1460,L50709,L,301.9,310.9,1567,39,214,1,Tool Wear Failure
1461,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
1462,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
1463,L50864,L,302,311.2,1270,65.3,182,1,Overstrain Failure
1464,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
1465,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure
1466,L50967,L,302.3,310.8,1377,47.3,22,1,Heat Dissipation Failure
1467,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure
1468,M18666,M,302.3,310.9,1360,44,67,1,Heat Dissipation Failure
1469,M18674,M,302.1,310.6,1326,59.1,88,1,Heat Dissipation Failure
1470,H33243,H,302.3,310.9,1366,48.4,130,1,Heat Dissipation Failure
1471,L51034,L,302.4,311,1338,67.6,194,1,Power Failure
1472,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure
1473,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
1474,L51108,L,302.6,311.5,1442,59.8,169,1,Power Failure
1475,M18795,M,302.6,311.6,1227,68.2,187,1,Overstrain Failure
1476,L51123,L,302.3,311.4,1333,66.7,205,1,Power Failure
1477,L51182,L,302.1,311.2,1454,59.2,153,1,Power Failure
1478,M18884,M,302.1,311,1351,60.3,207,1,Overstrain Failure
1479,L51212,L,302,310.8,1383,50.3,231,1,Overstrain Failure
1480,L51214,L,302,310.8,1615,29,235,1,Tool Wear Failure
1481,M18904,M,301.9,310.9,1419,47.7,20,1,No Failure
1482,L51228,L,301.9,311,2691,12.1,31,1,Power Failure
1483,M19143,M,301.8,309.9,1334,61,182,1,Heat Dissipation Failure
1484,L51465,L,301.7,309.9,1317,49,187,1,Heat Dissipation Failure
1485,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
1486,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
1487,L51487,L,301.4,309.9,1259,63.9,20,1,Heat Dissipation Failure
1488,L51503,L,301.8,310.3,1341,50.5,64,1,Heat Dissipation Failure
1489,L51506,L,301.6,310.1,1362,55.8,70,1,Heat Dissipation Failure
1490,L51508,L,301.6,310.1,1326,48.2,77,1,Heat Dissipation Failure
1491,M19202,M,301.7,309.8,1284,68.2,111,1,Power Failure
1492,M19213,M,302,309.7,1386,62.7,142,1,Power Failure
1494,H33769,H,302,309.8,1280,57.3,147,1,Heat Dissipation Failure
1495,M19221,M,302.1,310.1,1379,48.2,166,1,Heat Dissipation Failure
1496,L51550,L,302,309.9,1308,57.6,197,1,Heat Dissipation Failure
1498,L51563,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
1499,L51565,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
1500,M19249,M,302.1,310,1355,45.1,6,1,Heat Dissipation Failure
1501,M19251,M,302.2,310.1,1368,51.6,12,1,Heat Dissipation Failure
1502,L51580,L,302.3,310.1,1353,50.9,36,1,Heat Dissipation Failure
1503,L51585,L,302.4,310.2,1331,45.5,53,1,Heat Dissipation Failure
1504,L51586,L,302.5,310.3,1326,58.5,55,1,Heat Dissipation Failure
1505,M19269,M,302.4,310.1,1358,54.6,61,1,Heat Dissipation Failure
1506,L51597,L,302.6,310.4,1365,66.8,80,1,Power Failure
1507,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
1508,L51601,L,302.6,310.2,1325,62.4,92,1,Heat Dissipation Failure
1509,M19287,M,302.4,310.1,1379,48.9,107,1,Heat Dissipation Failure
1511,L51615,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
1512,L51621,L,302.5,310.2,1329,50.6,148,1,Heat Dissipation Failure
1513,L51628,L,302.4,310.3,1374,51.2,163,1,Heat Dissipation Failure
1514,M19309,M,302.4,310.3,1378,54.3,165,1,Heat Dissipation Failure
1515,L51642,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
1516,L51649,L,302.7,310.5,1446,40.9,211,1,Tool Wear Failure
1517,L51655,L,302.7,310.5,1351,41.8,10,1,Heat Dissipation Failure
1518,H33894,H,302.7,310.4,1305,55.2,20,1,Heat Dissipation Failure
1519,L51675,L,302.6,310.4,1359,57.2,67,1,Heat Dissipation Failure
1520,L51681,L,302.5,310.2,1307,54,86,1,Heat Dissipation Failure
1521,L51690,L,302.4,310.2,1346,62.4,106,1,Heat Dissipation Failure
1522,M19387,M,302.4,310.5,1372,45.7,144,1,Heat Dissipation Failure
1523,M19393,M,302.4,310.3,1375,52.5,161,1,Heat Dissipation Failure
1524,L51716,L,302.4,310.2,1351,45.1,168,1,Heat Dissipation Failure
1525,L51724,L,302.5,310.4,1349,55.1,187,1,Heat Dissipation Failure
1526,M19416,M,302.7,310.6,1349,51.2,6,1,Heat Dissipation Failure
1527,L51738,L,302.7,310.7,1369,47.5,11,1,Heat Dissipation Failure
1528,H33979,H,302.7,310.8,1275,55,25,1,Heat Dissipation Failure
1529,L51750,L,302.8,310.9,1312,52.2,40,1,Heat Dissipation Failure
1530,L51759,L,303,311.2,1374,48.2,65,1,Heat Dissipation Failure
1531,L51776,L,303,311.2,1361,47.6,106,1,Heat Dissipation Failure
1532,L51780,L,303,311,1359,44.2,115,1,Heat Dissipation Failure
1533,M19461,M,303,311.1,1372,54.3,117,1,Heat Dissipation Failure
1534,L51791,L,303,311.3,1365,56.2,146,1,Heat Dissipation Failure
1535,M19478,M,303,311.3,1335,53.6,164,1,Heat Dissipation Failure
1536,L51800,L,303.1,311.3,1336,52.6,172,1,Heat Dissipation Failure
1537,L51801,L,303,311.2,1341,51,174,1,Heat Dissipation Failure
1538,M19492,M,302.9,311.2,1330,53.7,200,1,Heat Dissipation Failure
1539,L51822,L,303.2,311.4,1238,54.6,226,1,Heat Dissipation Failure
1540,L51823,L,303.2,311.4,1324,54.2,228,1,Heat Dissipation Failure
1541,L51826,L,303.3,311.4,1497,46,234,1,Tool Wear Failure
1542,L51831,L,303.2,311.4,1349,51.1,9,1,Heat Dissipation Failure
1543,L51841,L,303.3,311.3,1350,48.1,32,1,Heat Dissipation Failure
1544,M19525,M,303.4,311.4,1307,54,44,1,Heat Dissipation Failure
1545,M19529,M,303.3,311.5,1373,47.3,60,1,Heat Dissipation Failure
1546,M19544,M,303.6,311.8,1421,44.8,101,1,No Failure
1547,L51882,L,303.6,311.8,1222,66.8,148,1,Heat Dissipation Failure
1548,L51898,L,303.3,311.6,1337,56.8,187,1,Heat Dissipation Failure
1549,M19580,M,303.4,311.7,1353,44.1,192,1,Heat Dissipation Failure
1550,L51903,L,303.4,311.8,1366,50.9,200,1,Heat Dissipation Failure
1551,M19587,M,303.4,311.8,1341,47,210,1,Heat Dissipation Failure
1552,L51909,L,303.4,311.8,1306,61,215,1,Heat Dissipation Failure
1553,L51911,L,303.3,311.6,1301,45.1,219,1,Heat Dissipation Failure
1554,M19597,M,303.2,311.5,1336,58.2,2,1,Heat Dissipation Failure
1555,L51919,L,303.2,311.4,1351,53.8,8,1,Heat Dissipation Failure
1556,L51928,L,303.2,311.2,1363,46.7,29,1,Heat Dissipation Failure
1557,L51935,L,303.4,311.7,1295,51.3,51,1,Heat Dissipation Failure
1558,L51939,L,303.5,311.6,1361,46.5,62,1,Heat Dissipation Failure
1559,H34175,H,303.7,311.9,1332,52.7,66,1,Heat Dissipation Failure
1560,M19622,M,303.7,312,2663,11.4,71,1,Power Failure
1561,L51948,L,303.6,312,1309,52.9,86,1,Heat Dissipation Failure
1562,L51950,L,303.5,311.9,1344,49.3,93,1,Heat Dissipation Failure
1563,H34192,H,303.6,312.2,1371,54.6,112,1,Heat Dissipation Failure
1564,L51994,L,303.4,311.8,1401,53,208,1,Overstrain Failure
1565,L51996,L,303.4,312,1521,35.9,215,1,Tool Wear Failure
1566,L52011,L,303.5,312,1366,54.5,30,1,Heat Dissipation Failure
1567,L52013,L,303.4,311.9,1377,41.6,34,1,Heat Dissipation Failure
1568,L52016,L,303.3,311.8,1315,62,42,1,Heat Dissipation Failure
1569,L52020,L,303.4,311.9,1298,63.9,59,1,Heat Dissipation Failure
1570,M19704,M,303.4,311.8,1316,50.9,69,1,Heat Dissipation Failure
1571,L52031,L,303.7,312.1,1363,51.8,90,1,Heat Dissipation Failure
1572,L52100,L,303.4,312.2,1337,69.4,52,1,Power Failure
1573,L52116,L,303.5,312.4,1284,70.6,94,1,Power Failure
1574,L52156,L,303.7,312.7,1359,56.8,194,1,Overstrain Failure
1575,L52164,L,303.8,313.1,1256,58.7,213,1,Overstrain Failure
1576,L52168,L,303.8,313.1,2497,13,5,1,Power Failure
1577,M19857,M,303.6,312.8,2659,11.4,26,1,Power Failure
1578,H34462,H,304,313.2,1271,68.6,161,1,Power Failure
1579,L52241,L,304,312.9,1363,62.5,200,1,Overstrain Failure
1580,L52321,L,304.4,313.7,1509,35,205,1,Tool Wear Failure
1581,L52399,L,303.8,313,1365,59.9,205,1,Overstrain Failure
1582,M20169,M,303.9,313.2,1422,48,215,1,Tool Wear Failure
1583,M20194,M,303.4,312.6,2706,9.8,65,1,Power Failure
1585,M20254,M,302.8,312.3,1262,70.5,234,1,Power Failure
1586,H34813,H,302.8,312.4,1411,53.8,246,1,Overstrain Failure
1587,L52580,L,302.7,312.4,1477,46.3,251,1,Overstrain Failure
1588,M20261,M,302.6,312.3,1454,54.8,253,1,Tool Wear Failure
1589,L52668,L,302.7,312.2,1450,52.1,213,1,Overstrain Failure
1590,L52670,L,302.6,312.1,1288,68.5,0,1,Power Failure
1591,M20396,M,302.3,311.8,1363,54,119,1,No Failure
1592,M20475,M,303,312.2,1257,71.3,122,1,Power Failure
1593,L52797,L,303.1,312.4,1404,61.5,127,1,Power Failure
1594,L52886,L,302.4,311.9,1290,70,139,1,Power Failure
1595,L52914,L,302.3,311.8,1369,56.2,208,1,Overstrain Failure
1597,H35323,H,300.7,310.2,1364,65.3,208,1,Power Failure
1598,L53121,L,300.6,310.7,1438,48.5,78,1,No Failure
1599,M20859,M,300.4,310.2,1671,30.5,234,1,Tool Wear Failure
1600,L53204,L,300.7,310.9,1356,65.3,66,1,Power Failure
1601,L53258,L,300.8,310.7,1339,59.1,203,1,Overstrain Failure
1602,L53333,L,301,311.1,1236,64.4,177,1,Overstrain Failure
1603,L53339,L,301,311,1399,58,190,1,Overstrain Failure
1604,L53352,L,300.8,310.6,1577,37.9,227,1,Tool Wear Failure
1605,L53358,L,301.1,310.9,1282,67.9,10,1,Power Failure
1606,L53428,L,300.8,310.1,1405,61.2,189,1,Power Failure
1607,L53435,L,301,310.5,1379,57.3,204,1,Overstrain Failure
1608,L53436,L,301,310.6,1493,37.8,206,1,Tool Wear Failure
1609,H35754,H,300.5,309.9,1397,45.9,210,1,Tool Wear Failure
1610,H35833,H,300.3,309.9,1394,46.7,210,1,Tool Wear Failure
1611,L53658,L,300.5,309.8,1663,29.1,145,1,No Failure
1612,L53677,L,300.8,309.9,1312,65.3,192,1,Overstrain Failure
1613,L53705,L,301.1,310.4,1312,73.6,49,1,Power Failure
1614,M21400,M,301.4,310.7,1368,63.7,92,1,Power Failure
1615,M21478,M,301.6,310.6,1309,65.8,75,1,Power Failure
1616,L53853,L,301.6,310.7,1380,51.8,216,1,Overstrain Failure
1617,M21538,M,301.5,310.7,1336,65.6,0,1,Power Failure
1618,L53939,L,301.7,311,1441,44.3,208,1,Tool Wear Failure
1619,M21659,M,301.1,310.7,2636,12.2,100,1,Power Failure
1620,L54104,L,301.2,311.6,1461,52.9,208,1,Overstrain Failure
1621,L54112,L,300.8,311.4,1322,67.2,18,1,Power Failure
1622,L54170,L,300.7,311.1,2478,13.4,170,1,Power Failure
1623,L54191,L,300.5,310.5,2633,12.2,17,1,Power Failure
1624,L54263,L,300.7,310.4,1416,61.8,209,1,Power Failure
1625,L54267,L,300.6,310.3,1648,30.5,217,1,Tool Wear Failure
1626,L54347,L,300.3,310.3,1362,60.3,206,1,Overstrain Failure
1627,L54460,L,299.9,310.2,1288,69.6,62,1,Power Failure
1628,M22286,M,300,311.4,1692,29,216,1,Tool Wear Failure
1629,L54689,L,300.6,311.9,1372,60.1,212,1,Overstrain Failure
1630,L54690,L,300.5,311.8,1524,38.9,214,1,Tool Wear Failure
1631,L54716,L,300.1,311.3,2579,12.5,64,1,Power Failure
1632,M22424,M,300.3,311.2,1381,65.2,136,1,Power Failure
1633,L54749,L,300.2,311,1255,71.8,149,1,Power Failure
1634,M22451,M,300.5,311.1,1296,61.3,202,1,Overstrain Failure
1635,L54773,L,300.5,311.2,1270,67.5,208,1,Overstrain Failure
1636,L54849,L,300.7,311.8,1336,58.4,189,1,Overstrain Failure
1637,M22547,M,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
1638,L54936,L,300.5,311.8,1368,57.9,191,1,Overstrain Failure
1639,L54939,L,300.4,311.8,1272,59.2,198,1,Overstrain Failure
1640,L54943,L,300.4,311.6,1200,76.6,3,1,Power Failure
1641,M22709,M,300.3,311.7,1374,47.9,222,1,Tool Wear Failure
1642,L55064,L,300.8,312.4,1465,59.1,91,1,Power Failure
1643,L55106,L,300.7,311.9,1335,57.1,194,1,Overstrain Failure
1644,M22857,M,301,312.2,2710,9.7,143,1,Power Failure
1645,L55206,L,300.7,311.9,1399,50.2,222,1,Overstrain Failure
1646,M22971,M,300.4,311.8,1553,33.1,209,1,Tool Wear Failure
1647,L55372,L,299.6,310.9,1229,65.2,209,1,Overstrain Failure
1648,L55375,L,299.4,310.8,1376,53.9,215,1,Overstrain Failure
1649,L55379,L,299.2,310.7,1737,27,225,1,Tool Wear Failure
1650,M23105,M,299,310.3,1303,68.6,111,1,Power Failure
1651,M23167,M,298.7,310.1,1402,69.7,64,1,Power Failure
1652,L55537,L,298.5,309.5,1385,46.3,203,1,Tool Wear Failure
1653,L55578,L,298.5,309.7,2617,12.1,102,1,Power Failure
1654,L55617,L,298.7,309.8,1181,65.9,203,1,Overstrain Failure
1655,L55686,L,298.4,309.6,1710,27.3,163,1,No Failure
1656,M23442,M,297.5,308.1,1334,72,151,1,Power Failure
1657,L55788,L,297.4,308.4,1369,50.6,220,1,Overstrain Failure
1658,L55789,L,297.4,308.3,1475,40.5,222,1,Tool Wear Failure
1659,L55870,L,297.1,308.5,1323,44.4,207,1,Tool Wear Failure
1660,M23706,M,297.4,308.8,1325,62.4,204,1,Tool Wear Failure
1661,M23786,M,297.3,308.3,1459,59.6,207,1,Power Failure
1662,M23874,M,297.2,308.1,1340,61.3,207,1,Overstrain Failure
1663,L56195,L,297.2,308.1,1431,49.7,210,1,No Failure
1664,L56196,L,297.3,308.2,1396,52.7,212,1,Overstrain Failure
1665,L56198,L,297.3,308.1,1615,35.4,217,1,Tool Wear Failure
1666,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure
1667,L56354,L,297.8,308.9,1871,25.6,200,1,Tool Wear Failure
1668,L56355,L,297.8,309,1403,64.2,0,1,Power Failure
1669,L56594,L,298.1,308.6,1354,53.9,207,1,Overstrain Failure
1670,L56673,L,299.1,309.8,1398,55.4,217,1,Overstrain Failure
1671,L56756,L,299.6,310.7,1922,23.3,205,1,Tool Wear Failure
1672,L56793,L,299,310.2,1377,62.5,92,1,Power Failure
1673,L56833,L,299,309.9,1373,55.7,201,1,Overstrain Failure
99,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure
100,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure
101,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure
102,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure
103,L47184,L,298.2,308.7,1408,40,9,0,No Failure
104,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure
105,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure
106,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure
107,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure
108,M14869,M,298.5,309,1741,28,21,0,No Failure
109,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure
110,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure
111,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure
112,M14873,M,298.6,309.2,1742,30,37,0,No Failure
113,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure
114,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure
115,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure
116,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure
117,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure
118,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure
119,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure
120,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure
121,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure
122,L47203,L,299,309.4,1758,25.7,68,0,No Failure
123,M14884,M,299,309.4,1561,37.3,70,0,No Failure
124,L47205,L,299,309.5,1861,23.3,73,0,No Failure
125,L47206,L,299.1,309.5,1512,39,75,0,No Failure
126,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure
127,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure
128,L47209,L,299,309.4,1693,30.1,84,0,No Failure
129,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure
130,L47211,L,299,309.4,1798,25.5,89,0,No Failure
131,L47212,L,299,309.4,1419,48.3,91,0,No Failure
132,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure
133,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure
134,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure
135,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure
136,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure
137,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure
138,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure
139,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure
140,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure
141,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure
142,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure
143,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure
144,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure
145,M14906,M,298.7,309,1843,25.8,130,0,No Failure
146,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure
147,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure
148,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure
149,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure
150,H29466,H,298.8,309,1497,43.8,147,0,No Failure
151,L47233,L,298.7,309,1565,35.1,152,0,No Failure
152,L47234,L,298.7,309,1691,30.1,154,0,No Failure
153,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure
154,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure
155,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure
156,M14918,M,298.8,309,1661,29.5,162,0,No Failure
157,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure
158,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure
159,M14921,M,298.8,309,1592,38.2,169,0,No Failure
160,L47242,L,298.8,309,1829,22.9,172,0,No Failure
163,M14923,M,298.9,309,1812,25.9,174,0,No Failure
164,L47244,L,299,309.1,1523,38.6,177,0,No Failure
165,L47245,L,299,309.1,1394,45.1,179,0,No Failure
166,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure
167,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure
168,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure
170,M14930,M,298.9,309,1924,22.6,193,0,No Failure
171,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure
172,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure
173,L47253,L,299,309.1,1592,35,200,0,No Failure
174,L47254,L,298.9,309,1601,32.3,202,0,No Failure
175,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure
176,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure
177,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure
178,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure
179,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure
180,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure
181,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure
182,L47263,L,299,309,1469,40.1,13,0,No Failure
183,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure
184,M14945,M,299,309,1804,26.8,17,0,No Failure
185,H29500,H,299,309,1436,43.9,20,0,No Failure
186,L47267,L,299,309,1544,31.8,25,0,No Failure
187,M14948,M,299,309,1419,45.2,27,0,No Failure
188,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure
189,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure
190,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure
191,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure
192,L47273,L,299.1,309,1450,43,40,0,No Failure
193,L47274,L,299,308.9,1622,31.9,42,0,No Failure
194,M14955,M,299,309,1351,52.2,44,0,No Failure
196,M14956,M,299,309,1575,35.3,47,0,No Failure
197,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
198,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure
199,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure
200,L47280,L,298.8,308.9,1852,25,57,0,No Failure
201,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
202,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
203,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
204,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure
205,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure
206,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
207,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure
209,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
210,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
211,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
212,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
213,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure
214,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure
215,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
216,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure
217,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
218,L47297,L,298.8,308.6,1599,33,101,0,No Failure
219,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure
220,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
221,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
222,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
223,L47302,L,299,308.8,1310,50.7,112,0,No Failure
224,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
225,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
226,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
227,L47306,L,299,308.6,1329,60.5,120,0,No Failure
228,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
229,L47308,L,299,308.6,1587,38.6,124,0,No Failure
230,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
231,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure
232,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure
233,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
234,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure
235,L47314,L,298.8,308.4,1369,53,138,0,No Failure
236,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure
237,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
238,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure
239,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
240,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure
241,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
242,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure
244,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure
245,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
246,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure
247,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure
248,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure
251,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
